journal_name,category,if_2022,if_2023,if_2024
Annual Review of Pathology-Mechanisms of Disease,PATHOLOGY - SCIE(Q1),32.35,36.2,34.5
Molecular Cancer,ONCOLOGY - SCIE(Q1),41.44,37.3,33.9
Cancer Discovery,ONCOLOGY - SCIE(Q1),38.27,28.2,33.3
Annual Review of Immunology,IMMUNOLOGY - SCIE(Q1),32.48,29.7,33.3
iMeta,,,,33.2
Nature Reviews Neurology,CLINICAL NEUROLOGY - SCIE(Q1),44.71,38.1,33.1
JOURNAL OF HEPATOLOGY,GASTROENTEROLOGY & HEPATOLOGY - SCIE(Q1),30.08,25.7,33
Nature Photonics,OPTICS - SCIE(Q1),39.73,35,32.9
Lancet Respiratory Medicine,RESPIRATORY SYSTEM - SCIE(Q1),102.64,76.2,32.8
Nature Reviews Rheumatology,RHEUMATOLOGY - SCIE(Q1),32.29,33.7,32.7
Annual Review of Astronomy and Astrophysics,ASTRONOMY & ASTROPHYSICS - SCIE(Q1),37.23,33.3,32.5
NATURE METHODS,BIOCHEMICAL RESEARCH METHODS - SCIE(Q1),47.99,48,32.1
eLight,,,,32.1
Interdisciplinary Materials,,,,31.6
Annual Review of Organizational Psychology and Organizational Behavior,MANAGEMENT - SSCI(Q1),12.55,,31.1
LANCET INFECTIOUS DISEASES,INFECTIOUS DISEASES - SCIE(Q1),71.42,56.3,31
Cell Metabolism,CELL BIOLOGY - SCIE(Q1),31.37,29,30.9
Energy & Environmental Science,"ENGINEERING, CHEMICAL - SCIE(Q1)",39.71,32.5,30.8
Annual Review of Condensed Matter Physics,"PHYSICS, CONDENSED MATTER - SCIE(Q1)",23.98,22.6,30.7
Annual Review of Fluid Mechanics,MECHANICS - SCIE(Q1),25.29,27.7,30.2
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,"PHYSICS, MULTIDISCIPLINARY - SCIE(Q1)",30.51,30,29.5
Annual Review of Psychology,PSYCHOLOGY - SCIE(Q1),27.78,24.8,29.4
NATURE GENETICS,GENETICS & HEREDITY - SCIE(Q1),41.31,30.8,29
Physiological Reviews,PHYSIOLOGY - SCIE(Q1),46.5,33.6,28.7
Nature Cancer,ONCOLOGY - SCIE(Q1),23.18,22.7,28.5
ACM COMPUTING SURVEYS,"COMPUTER SCIENCE, THEORY & METHODS - SCIE(Q1)",14.32,16.6,28
NATURE IMMUNOLOGY,IMMUNOLOGY - SCIE(Q1),31.25,30.5,27.6
Living Reviews in Solar Physics,ASTRONOMY & ASTROPHYSICS - SCIE(Q1),28.7,20.9,27.6
Science Robotics,ROBOTICS - SCIE(Q1),27.54,25,27.5
Nature Climate Change,ENVIRONMENTAL STUDIES - SSCI(Q1),28.66,30.7,27.1
Nature Sustainability,ENVIRONMENTAL STUDIES - SSCI(Q1),27.16,27.6,27.1
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI(Q1),18.96,,27
Wiley Interdisciplinary Reviews-Computational Molecular Science,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1)",11.5,11.4,27
ADVANCED MATERIALS,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1)",32.09,29.4,26.8
NEW ASTRONOMY REVIEWS,ASTRONOMY & ASTROPHYSICS - SCIE(Q1),8.68,6,26.8
MATERIALS SCIENCE & ENGINEERING R-REPORTS,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)",33.67,31,26.8
NATURE REVIEWS NEUROSCIENCE,NEUROSCIENCES - SCIE(Q1),38.76,34.7,26.7
Nature Biomedical Engineering,"ENGINEERING, BIOMEDICAL - SCIE(Q1)",29.23,28.1,26.6
ASTRONOMY AND ASTROPHYSICS REVIEW,ASTRONOMY & ASTROPHYSICS - SCIE(Q1),35.79,25.8,26.5
Annual Review of Plant Biology,PLANT SCIENCES - SCIE(Q1),28.31,23.9,26.5
Immunity,IMMUNOLOGY - SCIE(Q1),43.47,32.4,26.3
PROGRESS IN POLYMER SCIENCE,POLYMER SCIENCE - SCIE(Q1),31.28,27.1,26.1
Advanced Energy Materials,"CHEMISTRY, PHYSICAL - SCIE(Q1)",29.7,27.8,26
PROCEEDINGS OF THE IEEE,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q1)",14.91,20.6,25.9
CELL RESEARCH,CELL BIOLOGY - SCIE(Q1),46.3,44.1,25.9
GUT,GASTROENTEROLOGY & HEPATOLOGY - SCIE(Q1),31.79,24.5,25.8
Innovation,,,,25.7
Foundations and Trends in Machine Learning,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI(Q1)",,,25.4
EUROPEAN UROLOGY,UROLOGY & NEPHROLOGY - SCIE(Q1),24.27,23.4,25.2
Lancet Public Health,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q1)",72.43,50,25.2
Gastroenterology,GASTROENTEROLOGY & HEPATOLOGY - SCIE(Q1),33.88,29.4,25.1
Advanced Powder Materials,,,,24.9
Cancer Communications,ONCOLOGY - SCIE(Q1),15.28,16.2,24.9
Lancet Psychiatry,PSYCHIATRY - SCIE(Q1),77.06,64.3,24.8
FUNGAL DIVERSITY,MYCOLOGY - SCIE(Q1),24.9,20.3,24.8
Carbon Energy,"CHEMISTRY, PHYSICAL - SCIE(Q1)",21.56,20.5,24.2
Lancet Digital Health,MEDICAL INFORMATICS - SCIE(Q1),36.62,30.8,24.1
Molecular Plant,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1),21.95,27.5,24.1
Nature Water,,,,24.1
Nature Machine Intelligence,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE(Q1)",25.9,23.8,23.9
Advances in Optics and Photonics,OPTICS - SCIE(Q1),24.75,27.1,23.8
EnergyChem,"CHEMISTRY, MULTIDISCIPLINARY - ESCI(Q1)",,,23.8
COORDINATION CHEMISTRY REVIEWS,"CHEMISTRY, INORGANIC & NUCLEAR - SCIE(Q1)",24.83,20.6,23.5
Light-Science & Applications,OPTICS - SCIE(Q1),20.26,19.4,23.4
JAMA Internal Medicine,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)",44.41,39,23.3
BLOOD,HEMATOLOGY - SCIE(Q1),25.48,20.3,23.1
Military Medical Research,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)",34.92,21.1,22.9
Exploration,,,,22.5
Opto-Electronic Advances,OPTICS - SCIE(Q1),8.93,14.1,22.4
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q1),27.2,24,22.3
InfoMat,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)",24.8,22.7,22.3
Annual Review of Medicine,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE(Q1)",16.05,10.5,22.1
Materials Today,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)",26.94,24.2,22
ENDOCRINE REVIEWS,ENDOCRINOLOGY & METABOLISM - SCIE(Q1),25.26,20.3,22
Nature Food,FOOD SCIENCE & TECHNOLOGY - SCIE(Q1),20.43,23.2,21.9
Nature Reviews Psychology,,,,21.8
Advanced Composites and Hybrid Materials,NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q1),11.81,20.1,21.8
DRUG RESISTANCE UPDATES,PHARMACOLOGY & PHARMACY - SCIE(Q1),22.84,24.3,21.7
Lancet Planetary Health,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI(Q1)",28.75,25.7,21.6
JAMA Neurology,CLINICAL NEUROLOGY - SCIE(Q1),29.91,29,21.3
Advanced Fiber Materials,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)",12.96,16.1,21.3
SusMat,,,,21.3
International Journal of Extreme Manufacturing,"ENGINEERING, MANUFACTURING - SCIE(Q1)",10.04,14.7,21.3
INTENSIVE CARE MEDICINE,CRITICAL CARE MEDICINE - SCIE(Q1),41.79,38.9,21.2
Science Bulletin,MULTIDISCIPLINARY SCIENCES - SCIE(Q1),20.58,18.9,21.1
Applied Catalysis B-Environment and Energy,,,,21.1
EUROPEAN RESPIRATORY JOURNAL,RESPIRATORY SYSTEM - SCIE(Q1),33.8,24.3,21
AMERICAN JOURNAL OF BIOETHICS,SOCIAL ISSUES - SSCI(Q1),14.68,13.4,20.8
Nature Metabolism,ENDOCRINOLOGY & METABOLISM - SCIE(Q1),19.87,20.8,20.8
Journal of Thoracic Oncology,ONCOLOGY - SCIE(Q1),20.12,20.4,20.8
TRENDS IN PLANT SCIENCE,PLANT SCIENCES - SCIE(Q1),22.01,20.5,20.8
