journal_name,category,if_2022,if_2023,if_2024
TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,OPERATIONS RESEARCH & MANAGEMENT SCIENCE - SCIE(Q1),10.05,10.6,8.8
JOURNAL OF WORLD BUSINESS,BUSINESS - SSCI(Q1),8.64,,8.8
Virtual and Physical Prototyping,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)",10.96,10.6,8.8
npj 2D Materials and Applications,"PHYSICS, APPLIED - SCIE(Q1)",10.52,9.7,8.8
Environmental Science & Technology Letters,"ENGINEERING, ENVIRONMENTAL - SCIE(Q1)",11.56,10.9,8.8
CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION,FOOD SCIENCE & TECHNOLOGY - SCIE(Q1),11.21,10.2,8.8
Topics in Current Chemistry,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1)",8.91,8.6,8.8
Annual Review of Animal Biosciences,"AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE(Q1)",13.34,12,8.7
Annual Review of Statistics and Its Application,STATISTICS & PROBABILITY - SCIE(Q1),7.92,7.9,8.7
Economic Analysis and Policy,ECONOMICS - SSCI(Q1),4.44,,8.7
Nature Mental Health,,,,8.7
DEVELOPMENTAL CELL,CELL BIOLOGY - SCIE(Q1),13.42,11.8,8.7
Machine Intelligence Research,,,,8.7
Journal of Purchasing and Supply Management,MANAGEMENT - SSCI(Q1),7.2,,8.7
Journal of Crohns & Colitis,GASTROENTEROLOGY & HEPATOLOGY - SCIE(Q1),10.02,8,8.7
IEEE Transactions on Systems Man Cybernetics-Systems,AUTOMATION & CONTROL SYSTEMS - SCIE(Q1),11.47,8.7,8.7
International Journal of Coal Science & Technology,MINING & MINERAL PROCESSING - ESCI(Q1),,,8.7
International Journal of Stroke,PERIPHERAL VASCULAR DISEASE - SCIE(Q1),6.95,6.7,8.7
Water Cycle,,,,8.7
JACS Au,"CHEMISTRY, MULTIDISCIPLINARY - ESCI(Q1)",,,8.7
ACS Materials Letters,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)",11.17,11.4,8.7
CANCER AND METASTASIS REVIEWS,ONCOLOGY - SCIE(Q1),9.24,9.2,8.7
Applied Surface Science Advances,"PHYSICS, CONDENSED MATTER - ESCI(Q1)",,,8.7
SURFACE SCIENCE REPORTS,"PHYSICS, CONDENSED MATTER - SCIE(Q1)",13.42,9.8,8.7
Ukrainian Journal of Physical Optics,OPTICS - SCIE(Q1),0.91,3.9,8.6
Gondwana Research,"GEOSCIENCES, MULTIDISCIPLINARY - SCIE(Q1)",6.15,6.1,8.6
CHEST,CRITICAL CARE MEDICINE - SCIE(Q1),10.26,9.6,8.6
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY - SCIE(Q1),8.13,8.2,8.6
EUROPEAN JOURNAL OF INFORMATION SYSTEMS,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE(Q1)",9.01,9.5,8.6
Journal of Stroke,CLINICAL NEUROLOGY - SCIE(Q1),8.63,8.2,8.6
International Journal of Applied Earth Observation and Geoinformation,REMOTE SENSING - SCIE(Q1),7.67,7.5,8.6
JOURNAL OF SERVICE RESEARCH,BUSINESS - SSCI(Q1),10.05,,8.6
Materials Today Energy,"CHEMISTRY, PHYSICAL - SCIE(Q1)",9.26,9.3,8.6
Annual Review of Genetics,GENETICS & HEREDITY - SCIE(Q1),13.83,11.1,8.6
Journal of Road Engineering,,,,8.6
NEUROLOGY,CLINICAL NEUROLOGY - SCIE(Q1),11.8,9.9,8.5
Optica,OPTICS - SCIE(Q1),10.64,10.4,8.5
CLINICAL MICROBIOLOGY AND INFECTION,MICROBIOLOGY - SCIE(Q1),13.31,14.2,8.5
Horticulture Research,GENETICS & HEREDITY - SCIE(Q1),7.29,8.7,8.5
Swarm and Evolutionary Computation,"COMPUTER SCIENCE, THEORY & METHODS - SCIE(Q1)",10.27,10,8.5
ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES,ASTRONOMY & ASTROPHYSICS - SCIE(Q1),9.2,8.7,8.5
CORROSION SCIENCE,METALLURGY & METALLURGICAL ENGINEERING - SCIE(Q1),7.72,8.3,8.5
MEDICAL JOURNAL OF AUSTRALIA,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)",12.78,11.4,8.5
International Journal of Biological Macromolecules,"CHEMISTRY, APPLIED - SCIE(Q1)",8.03,8.2,8.5
Diabetes & Metabolism Journal,ENDOCRINOLOGY & METABOLISM - SCIE(Q1),5.89,5.9,8.5
International Journal of Artificial Intelligence in Education,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI(Q1)",,,8.5
TRANSACTIONS OF TIANJIN UNIVERSITY,,,,8.5
VIEW,"MATERIALS SCIENCE, BIOMATERIALS - ESCI(Q1)",,,8.5
Perspectives on Psychological Science,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI(Q1)",11.62,,8.4
AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY,OBSTETRICS & GYNECOLOGY - SCIE(Q1),10.69,9.8,8.4
Farming System,,,,8.4
Circulation-Heart Failure,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q1),10.45,9.7,8.4
Review of Finance,"BUSINESS, FINANCE - SSCI(Q1)",5.06,,8.4
ENGINEERING GEOLOGY,"ENGINEERING, GEOLOGICAL - SCIE(Q1)",6.9,7.4,8.4
npj Climate and Atmospheric Science,METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE(Q1),9.45,9,8.4
Brain Stimulation,NEUROSCIENCES - SCIE(Q1),9.18,7.7,8.4
IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,TRANSPORTATION SCIENCE & TECHNOLOGY - SCIE(Q1),9.55,8.5,8.4
SUPPLY CHAIN MANAGEMENT-AN INTERNATIONAL JOURNAL,BUSINESS - SSCI(Q1),11.26,,8.4
Journal of Environmental Management,ENVIRONMENTAL SCIENCES - SCIE(Q1),8.91,8.7,8.4
Annual Review of Resource Economics,ECONOMICS - SSCI(Q1),6.62,5.8,8.4
ACTA PHARMACOLOGICA SINICA,PHARMACOLOGY & PHARMACY - SCIE(Q1),7.17,8.2,8.4
Cold Spring Harbor Perspectives in Biology,CELL BIOLOGY - SCIE(Q1),9.71,7.2,8.4
Journal of Physics-Photonics,OPTICS - ESCI(Q1),,,8.4
Journal of CO2 Utilization,"ENGINEERING, CHEMICAL - SCIE(Q1)",8.32,7.7,8.4
Annual Review of Nuclear and Particle Science,"PHYSICS, PARTICLES & FIELDS - SCIE(Q1)",17.73,12.4,8.4
Cancer Biology & Medicine,ONCOLOGY - SCIE(Q1),5.35,5.5,8.4
Integrated Environmental Assessment and Management,TOXICOLOGY - SCIE(Q1),3.08,3.1,8.4
International Journal of Hospitality Management,"HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI(Q1)",10.43,,8.3
TELEMATICS AND INFORMATICS,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI(Q1),9.14,,8.3
PHYTOMEDICINE,"CHEMISTRY, MEDICINAL - SCIE(Q1)",6.66,7.9,8.3
BMC Medicine,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)",11.15,9.3,8.3
EMBO Molecular Medicine,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE(Q1)",14.26,11.1,8.3
Underground Space,"ENGINEERING, CIVIL - SCIE(Q1)",5.33,6.4,8.3
IEEE TRANSACTIONS ON COMMUNICATIONS,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q1)",6.17,8.3,8.3
INFORMATION SYSTEMS FRONTIERS,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE(Q1)",5.26,5.9,8.3
npj Quantum Information,"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL - SCIE(Q1)",10.76,7.6,8.3
IEEE Transactions on Transportation Electrification,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q1)",6.52,7,8.3
Annual Review of Virology,VIROLOGY - SCIE(Q1),14.26,11.3,8.3
EMBO JOURNAL,CELL BIOLOGY - SCIE(Q1),14.01,11.4,8.3
COMPUTERS ENVIRONMENT AND URBAN SYSTEMS,REGIONAL & URBAN PLANNING - SSCI(Q1),6.45,,8.3
ESMO Open,ONCOLOGY - SCIE(Q1),6.88,7.3,8.3
AUTOIMMUNITY REVIEWS,IMMUNOLOGY - SCIE(Q1),17.39,13.6,8.3
BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1),11.41,11.2,8.3
NPG Asia Materials,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)",10.76,9.7,8.3
INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,ENERGY & FUELS - SCIE(Q1),7.14,7.2,8.3
Small Science,,,,8.3
IMMUNOLOGICAL REVIEWS,IMMUNOLOGY - SCIE(Q1),10.98,8.7,8.3
Progress of Theoretical and Experimental Physics,"PHYSICS, PARTICLES & FIELDS - SCIE(Q1)",7.49,3.5,8.3
AMERICAN JOURNAL OF KIDNEY DISEASES,UROLOGY & NEPHROLOGY - SCIE(Q1),11.07,13.2,8.2
AMERICAN JOURNAL OF TRANSPLANTATION,TRANSPLANTATION - SCIE(Q1),9.37,8.8,8.2
INFORMATION & MANAGEMENT,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE(Q1)",10.33,9.9,8.2
Journal of International Financial Management & Accounting,"BUSINESS, FINANCE - SSCI(Q1)",2.81,,8.2
Particle and Fibre Toxicology,TOXICOLOGY - SCIE(Q1),9.11,10,8.2
Environmental Chemistry and Ecotoxicology,,,,8.2
npj Parkinsons Disease,NEUROSCIENCES - SCIE(Q1),9.3,8.7,8.2
SUSTAINABLE DEVELOPMENT,REGIONAL & URBAN PLANNING - SSCI(Q1),8.56,,8.2
IEEE COMMUNICATIONS MAGAZINE,TELECOMMUNICATIONS - SCIE(Q1),9.03,11.2,8.2
HYPERTENSION,PERIPHERAL VASCULAR DISEASE - SCIE(Q1),9.9,8.3,8.2
Cancer Immunology Research,IMMUNOLOGY - SCIE(Q1),12.02,10.1,8.2
JOURNAL OF CARDIAC FAILURE,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q1),6.59,6,8.2
Earths Future,METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE(Q1),8.85,8.2,8.2
FREE RADICAL BIOLOGY AND MEDICINE,ENDOCRINOLOGY & METABOLISM - SCIE(Q1),8.1,7.4,8.2
Friction,"ENGINEERING, MECHANICAL - SCIE(Q1)",4.92,6.8,8.2
IEEE Open Journal of the Computer Society,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - ESCI(Q1)",,,8.2
Developments in the Built Environment,"ENGINEERING, CIVIL - SCIE(Q1)",5.56,8.2,8.2
Water Research X,"ENGINEERING, ENVIRONMENTAL - SCIE(Q1)",9.37,7.5,8.2
Food Chemistry-X,"CHEMISTRY, APPLIED - SCIE(Q1)",6.44,6.1,8.2
ACS Applied Materials & Interfaces,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)",10.38,9.5,8.2
Future Foods,,,,8.2
Materials Today Nano,NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q1),13.36,10.3,8.2
PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY,SPECTROSCOPY - SCIE(Q1),9.45,6.1,8.2
Wiley Interdisciplinary Reviews-Nanomedicine and Nanobiotechnology,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE(Q1)",9.42,8.6,8.2
BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY,EDUCATION & EDUCATIONAL RESEARCH - SSCI(Q1),5.27,,8.1
HEALTH AFFAIRS,HEALTH CARE SCIENCES & SERVICES - SCIE(Q1),9.05,9.7,8.1
Journal of Statistical Software,STATISTICS & PROBABILITY - SCIE(Q1),6.99,5.8,8.1
Lancet Regional Health-Western Pacific,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI(Q1)",8.56,7.1,8.1
AMERICAN JOURNAL OF HUMAN GENETICS,GENETICS & HEREDITY - SCIE(Q1),11.04,9.8,8.1
DRUG DELIVERY,PHARMACOLOGY & PHARMACY - SCIE(Q1),6.82,6,8.1
NEW PHYTOLOGIST,PLANT SCIENCES - SCIE(Q1),10.32,9.4,8.1
Diagnostic and Interventional Imaging,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE(Q1)",7.24,5.5,8.1
Tumour Virus Research,VIROLOGY - ESCI(Q1),,,8.1
Current Pollution Reports,ENVIRONMENTAL SCIENCES - SCIE(Q1),8.1,7.3,8.1
Molecular Horticulture,,,,8.1
Adolescent Research Review,"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI(Q1)",5.05,,8.1
JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS,ENVIRONMENTAL SCIENCES - SCIE(Q1),8.07,7.2,8.1
APOPTOSIS,CELL BIOLOGY - SCIE(Q1),5.56,7.2,8.1
Regenerative Biomaterials,"MATERIALS SCIENCE, BIOMATERIALS - SCIE(Q1)",5.76,6.7,8.1
EES Catalysis,,,,8.1
Journal of Hazardous Materials Letters,,,,8.1
International Journal of STEM Education,"EDUCATION, SCIENTIFIC DISCIPLINES - SCIE(Q1)",5.79,6.7,8
INVESTIGATIVE RADIOLOGY,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE(Q1)",10.07,6.7,8
BASIC RESEARCH IN CARDIOLOGY,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q1),12.42,9.5,8
JOURNAL OF THE EUROPEAN ACADEMY OF DERMATOLOGY AND VENEREOLOGY,DERMATOLOGY - SCIE(Q1),9.23,9.2,8
IEEE Transactions on Information Forensics and Security,"COMPUTER SCIENCE, THEORY & METHODS - SCIE(Q1)",7.23,6.8,8
Petroleum Exploration and Development,"ENGINEERING, PETROLEUM - SCIE(Q1)",5.19,7.5,8
RESEARCH POLICY,MANAGEMENT - SSCI(Q1),9.47,,8
REVIEWS IN ENDOCRINE & METABOLIC DISORDERS,ENDOCRINOLOGY & METABOLISM - SCIE(Q1),9.31,8.2,8
ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,"ENGINEERING, MULTIDISCIPLINARY - SCIE(Q1)",7.8,8,8
npj Precision Oncology,ONCOLOGY - SCIE(Q1),10.09,7.9,8
Geography and Sustainability,"GEOGRAPHY, PHYSICAL - ESCI(Q1)",,,8
JOURNAL OF PRODUCT INNOVATION MANAGEMENT,BUSINESS - SSCI(Q1),9.89,10.5,8
JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE(Q1)",7.57,8.7,8
FOOD RESEARCH INTERNATIONAL,FOOD SCIENCE & TECHNOLOGY - SCIE(Q1),7.43,8.1,8
Science of The Total Environment,ENVIRONMENTAL SCIENCES - SCIE(Q1),10.75,9.8,8
Biofabrication,"MATERIALS SCIENCE, BIOMATERIALS - SCIE(Q1)",11.06,9,8
Construction and Building Materials,CONSTRUCTION & BUILDING TECHNOLOGY - SCIE(Q1),7.69,7.4,8
Materials Today Advances,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)",9.92,10,8
ACM Transactions on Computing for Healthcare,,,,8
Device,,,,8
IEEE Transactions on Network Science and Engineering,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE(Q1)",5.03,6.6,7.9
GENOMICS PROTEOMICS & BIOINFORMATICS,GENETICS & HEREDITY - SCIE(Q1),6.41,9.5,7.9
Results in Engineering,"ENGINEERING, MULTIDISCIPLINARY - ESCI(Q1)",,,7.9
Tourism Review,"HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI(Q1)",7.69,,7.9
ECOLOGY LETTERS,ECOLOGY - SCIE(Q1),11.27,8.8,7.9
JOURNAL OF HEADACHE AND PAIN,CLINICAL NEUROLOGY - SCIE(Q1),8.59,7.4,7.9
HAEMATOLOGICA,HEMATOLOGY - SCIE(Q1),11.05,10.1,7.9
BREAST,OBSTETRICS & GYNECOLOGY - SCIE(Q1),4.25,3.9,7.9
Journal of Service Management,MANAGEMENT - SSCI(Q1),9.45,,7.9
NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,BEHAVIORAL SCIENCES - SCIE(Q1),9.05,8.2,7.9
Materials Research Letters,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)",8.52,8.3,7.9
TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES,TRANSPORTATION SCIENCE & TECHNOLOGY - SCIE(Q1),9.02,8.3,7.9
MATERIALS & DESIGN,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)",9.42,8.4,7.9
ENTREPRENEURSHIP THEORY AND PRACTICE,BUSINESS - SSCI(Q1),9.99,,7.9
Materials Today Sustainability,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)",7.24,7.8,7.9
JOURNAL OF POWER SOURCES,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)",9.79,9.2,7.9
Journal of Nanostructure in Chemistry,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)",8.0,10.1,7.9
Journal of Obesity & Metabolic Syndrome,ENDOCRINOLOGY & METABOLISM - ESCI(Q1),,,7.9
Annual Review of Genomics and Human Genetics,GENETICS & HEREDITY - SCIE(Q1),9.34,8.7,7.9
Journal of Orthopaedic Translation,ORTHOPEDICS - SCIE(Q1),4.89,6.6,7.8
European Review of Social Psychology,"PSYCHOLOGY, SOCIAL - SSCI(Q1)",5.65,,7.8
ANNALS OF TOURISM RESEARCH,SOCIOLOGY - SSCI(Q1),12.85,,7.8
PSYCHOLOGICAL METHODS,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI(Q1)",10.93,,7.8
Eurosurveillance,INFECTIOUS DISEASES - SCIE(Q1),21.29,19,7.8
Journal of Mixed Methods Research,"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI(Q1)",5.75,,7.8
JPAD-Journal of Prevention of Alzheimers Disease,CLINICAL NEUROLOGY - SCIE(Q1),5.02,6.4,7.8
Journal of Hospitality and Tourism Management,MANAGEMENT - SSCI(Q1),7.63,,7.8
Resources Environment and Sustainability,,,,7.8
FORTSCHRITTE DER PHYSIK-PROGRESS OF PHYSICS,"PHYSICS, MULTIDISCIPLINARY - SCIE(Q1)",5.53,3.9,7.8
JOURNAL OF INTERACTIVE MARKETING,BUSINESS - SSCI(Q1),11.32,,7.8
Journal of Sustainable Tourism,"HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI(Q1)",9.47,,7.8
npj Science of Food,FOOD SCIENCE & TECHNOLOGY - SCIE(Q1),7.0,6.4,7.8
Journal of Intelligent and Connected Vehicles,,,,7.8
Hepatobiliary Surgery and Nutrition,NUTRITION & DIETETICS - SCIE(Q1),8.27,8,7.8
PROCESS SAFETY AND ENVIRONMENTAL PROTECTION,"ENGINEERING, CHEMICAL - SCIE(Q1)",7.93,7.8,7.8
MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,MICROBIOLOGY - SCIE(Q1),13.04,12.9,7.8
SEMINARS IN IMMUNOLOGY,IMMUNOLOGY - SCIE(Q1),10.67,7.8,7.8
HARVARD BUSINESS REVIEW,BUSINESS - SSCI(Q1),12.13,,7.8
ANNALS OF NEUROLOGY,NEUROSCIENCES - SCIE(Q1),11.27,11.2,7.7
THORAX,RESPIRATORY SYSTEM - SCIE(Q1),9.1,10,7.7
PLOS Digital Health,,,,7.7
JACC-Clinical Electrophysiology,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q1),6.12,7,7.7
ENVIRONMENTAL RESEARCH,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q1)",8.43,8.3,7.7
BRIEFINGS IN BIOINFORMATICS,BIOCHEMICAL RESEARCH METHODS - SCIE(Q1),13.99,9.5,7.7
BRITISH JOURNAL OF PHARMACOLOGY,PHARMACOLOGY & PHARMACY - SCIE(Q1),9.47,7.3,7.7
SENSORS AND ACTUATORS B-CHEMICAL,"CHEMISTRY, ANALYTICAL - SCIE(Q1)",9.22,8.4,7.7
INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY,ECOLOGY - SCIE(Q1),4.87,5.6,7.7
Molecular Systems Biology,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1),13.07,9.9,7.7
TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,TRANSPORTATION SCIENCE & TECHNOLOGY - SCIE(Q1),7.04,7.6,7.7
GENES & DEVELOPMENT,GENETICS & HEREDITY - SCIE(Q1),12.89,10.5,7.7
Cell Systems,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1),11.09,9.3,7.7
NEOPLASIA,ONCOLOGY - SCIE(Q1),6.22,4.8,7.7
Plant Nano Biology,,,,7.7
CLINICAL SCIENCE,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE(Q1)",6.88,6,7.7
Composites Communications,"MATERIALS SCIENCE, COMPOSITES - SCIE(Q1)",7.69,8,7.7
BME Frontiers,,,,7.7
FUEL PROCESSING TECHNOLOGY,"CHEMISTRY, APPLIED - SCIE(Q1)",8.13,7.5,7.7
PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF THE PACIFIC,ASTRONOMY & ASTROPHYSICS - SCIE(Q1),5.84,3.5,7.7
Journal of Hazardous Materials Advances,,,,7.7
CRITICAL REVIEWS IN BIOTECHNOLOGY,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE(Q1),9.06,9,7.7
Frontiers of Engineering Management,"ENGINEERING, INDUSTRIAL - ESCI(Q1)",,,7.7
ACS Environmental Au,,,,7.7
Progress in Biomedical Engineering,,,,7.7
Lancet Regional Health-Americas,,,,7.6
China Finance Review International,"BUSINESS, FINANCE - ESCI(Q1)",,,7.6
EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE(Q1)",10.06,9.1,7.6
Alzheimers Research & Therapy,CLINICAL NEUROLOGY - SCIE(Q1),8.82,9,7.6
ORGANIZATIONAL RESEARCH METHODS,"PSYCHOLOGY, APPLIED - SSCI(Q1)",8.25,,7.6
BRITISH JOURNAL OF PSYCHIATRY,PSYCHIATRY - SCIE(Q1),10.67,10.5,7.6
BRAIN BEHAVIOR AND IMMUNITY,NEUROSCIENCES - SCIE(Q1),19.23,15.1,7.6
BIOSCIENCE,BIOLOGY - SCIE(Q1),11.57,10.1,7.6
MOVEMENT DISORDERS,CLINICAL NEUROLOGY - SCIE(Q1),9.7,8.6,7.6
AMERICAN JOURNAL OF GASTROENTEROLOGY,GASTROENTEROLOGY & HEPATOLOGY - SCIE(Q1),12.05,9.8,7.6
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,ENVIRONMENTAL SCIENCES - SCIE(Q1),13.78,10.3,7.6
PHYTOCHEMISTRY REVIEWS,PLANT SCIENCES - SCIE(Q1),7.74,7.7,7.6
PATTERN RECOGNITION,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q1)",8.52,8,7.6
BMJ Evidence-Based Medicine,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)",4.69,5.8,7.6
npj Breast Cancer,ONCOLOGY - SCIE(Q1),7.52,5.9,7.6
Food Engineering Reviews,FOOD SCIENCE & TECHNOLOGY - SCIE(Q1),6.74,6.6,7.6
Science China-Information Sciences,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE(Q1)",7.28,8.8,7.6
Internet of Things,TELECOMMUNICATIONS - SCIE(Q1),5.71,5.9,7.6
International Journal of Consumer Studies,BUSINESS - SSCI(Q1),7.1,,7.6
Energy Conversion and Management-X,ENERGY & FUELS - ESCI(Q1),,,7.6
KNOWLEDGE-BASED SYSTEMS,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE(Q1)",8.14,8.8,7.6
Mucosal Immunology,IMMUNOLOGY - SCIE(Q1),8.7,8,7.6
Sensors and Actuators Reports,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - ESCI(Q1),,,7.6
Bio-Design and Manufacturing,"ENGINEERING, BIOMEDICAL - SCIE(Q1)",5.89,7.9,7.6
PROGRESS IN CARDIOVASCULAR DISEASES,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q1),11.28,9.1,7.6
PROGRESS IN PHOTOVOLTAICS,ENERGY & FUELS - SCIE(Q1),8.49,6.7,7.6
BUILDING AND ENVIRONMENT,"ENGINEERING, CIVIL - SCIE(Q1)",7.09,7.4,7.6
Green Chemical Engineering,,,,7.6
npj Materials Degradation,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)",6.89,5.1,7.6
Animal Nutrition,"AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE(Q1)",5.29,6.3,7.5
JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY,CLINICAL NEUROLOGY - SCIE(Q1),13.65,11,7.5
Neurology-Neuroimmunology & Neuroinflammation,NEUROSCIENCES - SCIE(Q1),11.36,8.8,7.5
IEEE Transactions on Dependable and Secure Computing,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE(Q1)",6.79,7.3,7.5
INTERNATIONAL JOURNAL OF ROCK MECHANICS AND MINING SCIENCES,"ENGINEERING, GEOLOGICAL - SCIE(Q1)",6.85,7.2,7.5
Emerging Microbes & Infections,MICROBIOLOGY - SCIE(Q1),19.57,13.2,7.5
European Journal of Preventive Cardiology,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q1),8.53,8.3,7.5
ECOLOGICAL MONOGRAPHS,ECOLOGY - SCIE(Q1),9.81,6.1,7.5
JHEP Reports,GASTROENTEROLOGY & HEPATOLOGY - SCIE(Q1),9.92,8.3,7.5
Science China-Physics Mechanics & Astronomy,"PHYSICS, MULTIDISCIPLINARY - SCIE(Q1)",5.2,6.4,7.5
Annual Review of Analytical Chemistry,SPECTROSCOPY - SCIE(Q1),12.4,8,7.5
Digital Communications and Networks,TELECOMMUNICATIONS - SCIE(Q1),6.35,7.9,7.5
INTERNATIONAL JOURNAL OF PROJECT MANAGEMENT,MANAGEMENT - SSCI(Q1),9.04,,7.5
INDUSTRIAL MARKETING MANAGEMENT,MANAGEMENT - SSCI(Q1),8.89,,7.5
Journal of Translational Medicine,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE(Q1)",8.44,7.4,7.5
BIOMEDICINE & PHARMACOTHERAPY,PHARMACOLOGY & PHARMACY - SCIE(Q1),7.42,7.5,7.5
GASTROINTESTINAL ENDOSCOPY,GASTROENTEROLOGY & HEPATOLOGY - SCIE(Q1),10.4,7.7,7.5
CURRENT BIOLOGY,CELL BIOLOGY - SCIE(Q1),10.9,9.2,7.5
DIABETES,ENDOCRINOLOGY & METABOLISM - SCIE(Q1),9.34,7.7,7.5
EXPERT SYSTEMS WITH APPLICATIONS,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE(Q1)",8.67,8.5,7.5
ARCHIVES OF PHARMACAL RESEARCH,PHARMACOLOGY & PHARMACY - SCIE(Q1),6.01,6.7,7.5
INTERNATIONAL JOURNAL OF RESEARCH IN MARKETING,BUSINESS - SSCI(Q1),8.05,,7.5
